"UF";"Cargo";"Nr";"Candidato";"Partido";"Coligação";"Situação";"Votação";"% Válidos";
"AL";"Governador";"15";"JOSE RENAN VASCONCELOS CALHEIROS FILHO";"PMDB";"PV / PT do B / PMDB / PROS / PC do B / PSC / PHS / PTB / PSD / PDT / PT";"Eleito";"670.310";"52,16"
"";"";"";"";"";"";"";"670.310";""
"";"";"";"";"";"";"";"670.310";""
"BA";"Governador";"13";"RUI COSTA DOS SANTOS";"PT";"PT / PP / PSD / PDT / PR / PC do B / PTB / PMN";"Eleito";"3.558.975";"54,53"
"";"";"";"";"";"";"";"3.558.975";""
"";"";"";"";"";"";"";"3.558.975";""
"ES";"Governador";"15";"PAULO CESAR HARTUNG GOMES";"PMDB";"PMDB / PSDB / DEM / SD / PEN / PROS / PRP";"Eleito";"1.020.440";"53,44"
"";"";"";"";"";"";"";"1.020.440";""
"";"";"";"";"";"";"";"1.020.440";""
"MA";"Governador";"65";"FLAVIO DINO DE CASTRO E COSTA";"PC do B";"PP / SD / PROS / PSDB / PC do B / PSB / PDT / PTC / PPS";"Eleito";"1.877.064";"63,52"
"";"";"";"";"";"";"";"1.877.064";""
"";"";"";"";"";"";"";"1.877.064";""
"MG";"Governador";"13";"FERNANDO DAMATA PIMENTEL";"PT";"PT / PMDB / PC do B / PROS / PRB";"Eleito";"5.362.870";"52,98"
"";"";"";"";"";"";"";"5.362.870";""
"";"";"";"";"";"";"";"5.362.870";""
"MT";"Governador";"12";"JOSÉ PEDRO GONÇALVES TAQUES";"PDT";"PDT / PP / DEM / PSDB / PSB / PPS / PV / PTB / PSDC / PSC / PRP / PSL / PRB";"Eleito";"833.788";"57,25"
"";"";"";"";"";"";"";"833.788";""
"";"";"";"";"";"";"";"833.788";""
"PE";"Governador";"40";"PAULO HENRIQUE SARAIVA CÂMARA";"PSB";"PMDB / PC do B / PSB / PTC / PRP / PV / PTN / PR / PSD / PPS / PSDB / SD / PPL / DEM / PHS / PSDC / PROS / PP / PEN / PRTB / PSL";"Eleito";"3.009.087";"68,08"
"";"";"";"";"";"";"";"3.009.087";""
"";"";"";"";"";"";"";"3.009.087";""
