"UF";"Cargo";"Nr";"Candidato";"Partido";"Coligação";"Situação";"Votação";"% Válidos";
"";"";"5500";"MARIA NAZARE PEREIRA LIMA DE CARVALHO";"PSD";"PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD";"Suplente";"245";"0,06"
"";"";"5431";"MARIO SERGIO MOURA DA SILVA";"PPL";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"237";"0,06"
"";"";"4554";"LUIZETE SILVA E SILVA";"PSDB";"PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD";"Suplente";"227";"0,06"
"";"";"1101";"CLAUDENOR MAGALHÃES SANTANA DE SOUZA";"PP";"PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD";"Suplente";"206";"0,05"
"";"";"5555";"JOSE AUGUSTO BATISTA DE AGUIAR";"PSD";"PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD";"Suplente";"205";"0,05"
"";"";"1112";"JOSÉ EDMAR RONIVON SANTIAGO DE MELO";"PP";"PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD";"Suplente";"186";"0,05"
"";"";"1311";"LENILDA DE SOUSA QUEIROZ";"PT";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"139";"0,03"
"";"";"1365";"AURINETE DE OLIVEIRA SILVA";"PT";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"135";"0,03"
"";"";"1377";"FRANCISCA CILENE RODRIGUES LOPES";"PT";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"103";"0,03"
"";"";"1733";"MARILEIDE SERAFIM DE ANDRADE";"PSL";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"5";"0,00"
"";"";"1399";"RAIZZA MARIA CARDOSO DE AZEVEDO";"PT";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"5";"0,00"
"";"";"";"";"";"";"";"155.309";""
"";"";"";"";"";"";"";"155.309";""
"AL";"Deputado Federal";"4444";"NIVALDO FERREIRA DE ALBUQUERQUE NETO";"PRP";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"66.910";"4,83"
"";"";"2888";"AUDIVAL AMÉLIO DA SILVA NETO";"PRTB";"PRTB / PPL / PMN";"Suplente";"58.095";"4,20"
"";"";"4500";"ROGERIO AUTO TEOFILO";"PSDB";"PSDB / PRB";"Suplente";"47.097";"3,40"
"";"";"7000";"ROSEANE CAVALCANTE DE FREITAS";"PT do B";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"27.116";"1,96"
"";"";"2877";"ADERVAL ROCHA TENÓRIO";"PRTB";"PRTB / PPL / PMN";"Suplente";"19.392";"1,40"
"";"";"1178";"MARIA FATIMA GALINA FORTES FERREIRA SANTIAGO";"PP";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"15.384";"1,11"
"";"";"1510";"HEMERSON CASADO GAMA";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"15.102";"1,09"
"";"";"1599";"FERNANDO ANTÔNIO MACEDO HOLANDA";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"14.553";"1,05"
"";"";"2323";"JOSÉ REGIS BARROS CAVALCANTE";"PPS";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"13.986";"1,01"
"";"";"2812";"JOSE BARBOSA LIMEIRA";"PRTB";"PRTB / PPL / PMN";"Suplente";"12.194";"0,88"
"";"";"1533";"CARLOS EUGÊNIO LESSA DE AZEVEDO SAMPAIO";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"10.307";"0,74"
"";"";"1122";"JOSE JULIO DE ALMEIDA FILHO";"PP";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"8.596";"0,62"
"";"";"4566";"JORGE VI LAMENHA LINS";"PSDB";"PSDB / PRB";"Suplente";"8.515";"0,61"
"";"";"3333";"ANTONIO CARLOS AZEVEDO LESSA";"PMN";"PRTB / PPL / PMN";"Suplente";"7.464";"0,54"
"";"";"2870";"JOSIVAL FERREIRA DE LIMA";"PRTB";"PRTB / PPL / PMN";"Suplente";"7.188";"0,52"
"";"";"1444";"IVON BERTO TIBURCIO DE LIMA";"PTB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"6.366";"0,46"
"";"";"2311";"ANTONIO NELSON OLIVEIRA DE AZEVEDO";"PPS";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"5.836";"0,42"
"";"";"4555";"MARCOS ANTONIO FERREIRA NUNES";"PSDB";"PSDB / PRB";"Suplente";"5.280";"0,38"
"";"";"1414";"ANTONIO CARLOS RAMOS";"PTB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"5.027";"0,36"
"";"";"1556";"FRANCISCO DE SOUZA IRMÃO";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"4.798";"0,35"
"";"";"2838";"LUIZ ALBERTO ALVES TEIXEIRA";"PRTB";"PRTB / PPL / PMN";"Suplente";"4.568";"0,33"
"";"";"2333";"LUCAS COSTA MOREIRA CESAR BARBOSA";"PPS";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"4.394";"0,32"
"";"";"4599";"VANILDO RUFINO DOS SANTOS";"PSDB";"PSDB / PRB";"Suplente";"4.170";"0,30"
"";"";"1580";"PEDRO RODRIGUES GAIA NETO";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"3.864";"0,28"
"";"";"1500";"ALEXANDRE MURTA DE ARAÚJO ROCHA";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"3.783";"0,27"
"";"";"2855";"ILDO RAFAEL DE VASCONCELOS";"PRTB";"PRTB / PPL / PMN";"Suplente";"3.782";"0,27"
"";"";"1112";"WELLINGTON RODRIGUES FRAGOSO";"PP";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"3.517";"0,25"
"";"";"4567";"VENANCIO DOS ANJOS TELES";"PSDB";"PSDB / PRB";"Suplente";"3.354";"0,24"
"";"";"2880";"JAILTON SANTOS COSTA";"PRTB";"PRTB / PPL / PMN";"Suplente";"3.227";"0,23"
"";"";"1001";"ANTÔNIO LUIZ DA SILVA";"PRB";"PSDB / PRB";"Suplente";"3.194";"0,23"
"";"";"1077";"GESIEL ANTÔNIO DE OLIVEIRA";"PRB";"PSDB / PRB";"Suplente";"2.776";"0,20"
"";"";"2828";"JOSE SALUSTIANO DOS SANTOS FILHO";"PRTB";"PRTB / PPL / PMN";"Suplente";"2.349";"0,17"
"";"";"2500";"JOSÉ FRANCISCO DE LIMA";"DEM";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"2.273";"0,16"
"";"";"1555";"JULIO CESAR MARTINS DE CERQUEIRA";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"2.190";"0,16"
"";"";"2505";"EDSON MAIA NOBRE DE ABREU";"DEM";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"1.901";"0,14"
"";"";"1011";"ZEDEQUIAS ALVES RIBEIRO";"PRB";"PSDB / PRB";"Suplente";"1.768";"0,13"
"";"";"5500";"ROBERTO CARLOS TEIXEIRA GOMES";"PSD";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"1.685";"0,12"
"";"";"3131";"JAMISON RODRIGUES DA SILVA";"PHS";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"1.577";"0,11"
"";"";"2525";"MARCOS ANTÔNIO VIEIRA DA SILVA";"DEM";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"1.519";"0,11"
"";"";"2777";"ODILON TENORIO DA SILVA";"PSDC";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"1.159";"0,08"
"";"";"4512";"MARIA DE FATIMA BRASILEIRO DANYLO";"PSDB";"PSDB / PRB";"Suplente";"1.093";"0,08"
